,sentence,age,gender,language,paths
7541,Yn 'e wedstriid hawwe alle spylsters in wyt rokje en in oranje wedstriidshirt oan.,fifties,female,Frisian,common_voice_fy-NL_21405132.wav
7542,Goed acht meiwurkers fan it bedriuw binne tiisdeitemoarn op paad gien.,fifties,female,Frisian,common_voice_fy-NL_21419696.wav
7543,De dyk wurdt breder sadat der yn de takomst hûndert kilometer riden wurde kin.,fourties,female,Frisian,common_voice_fy-NL_21407337.wav
7544,De fraachprizen rinne op oant de fjouwer ton foar in bungalow.,not_defined,not_defined,Frisian,common_voice_fy-NL_20760469.wav
7545,Se hawwe it skiep werombrocht nei it lân.,fifties,male,Frisian,common_voice_fy-NL_21225647.wav
7546,De ynformaasjegearkomste is tige wichtich foar de ynwenners.,sixties,female,Frisian,common_voice_fy-NL_21434441.wav
7547,Syn ôfdieling wie der yn in goed kertier klear mei.,not_defined,not_defined,Frisian,common_voice_fy-NL_21490983.wav
7548,Mei harren trettjinnen kamen se oan board.,fourties,male,Frisian,common_voice_fy-NL_21407809.wav
7549,"Myn nije baan falt my slim ôf, lykas it wurkklimaat yn de organisaasje.",not_defined,not_defined,Frisian,common_voice_fy-NL_20768839.wav
7550,Ferpleats it wurd fiif rigels.,not_defined,not_defined,Frisian,common_voice_fy-NL_21427502.wav
7551,It is net noflik om sa'n berchpas yn de mist te beklimmen.,sixties,male,Frisian,common_voice_fy-NL_21411927.wav
7552,Dêr wurdt al iuwen oer praat en dêr reitsje we noait oer útpraat.,not_defined,not_defined,Frisian,common_voice_fy-NL_21476642.wav
7553,It is net wis oft der sprake is fan opsetsin.,fifties,female,Frisian,common_voice_fy-NL_21405058.wav
7554,Is der ek in boartersplak op de kemping?,not_defined,not_defined,Frisian,common_voice_fy-NL_21427501.wav
7555,Hoe giest mei eigen en oarmans gefoelens om?,thirties,male,Frisian,common_voice_fy-NL_21447107.wav
7556,Nei de simmerfakânsje hat it hast alle dagen reind.,not_defined,not_defined,Frisian,common_voice_fy-NL_20768842.wav
7557,Elke spyldei wurdt in ploech yn de pûle deiwinner.,fifties,female,Frisian,common_voice_fy-NL_21418475.wav
7558,Op de foto's stiene se laitsjend yn koarte broek en wyt poloshirt.,not_defined,not_defined,Frisian,common_voice_fy-NL_21437545.wav
7559,Foar boerewurk en sa doogde er net.,twenties,female,Frisian,common_voice_fy-NL_21431470.wav
7560,Us bedoeling is om it songfestival te winnen.,not_defined,not_defined,Frisian,common_voice_fy-NL_21406965.wav
7561,Noch gjin minút dêrnei hie Anouk ek al in kwallebyt.,sixties,female,Frisian,common_voice_fy-NL_21434688.wav
7562,Twa sportfiskers fûnen it lichem en warskôgen de plysje.,not_defined,not_defined,Frisian,common_voice_fy-NL_21414162.wav
7563,It is gesellich om mei-inoar in miel klear te meitsjen.,not_defined,not_defined,Frisian,common_voice_fy-NL_20760316.wav
7564,Hy hopet oer in pear wiken mei in oplossing te kommen.,thirties,female,Frisian,common_voice_fy-NL_21422124.wav
7565,Stel ôfdrukgebiet yn op foarige fjirtjin.,not_defined,not_defined,Frisian,common_voice_fy-NL_21496629.wav
7566,Sy docht dat tsjin it sin.,not_defined,not_defined,Frisian,common_voice_fy-NL_21445149.wav
7567,Ik bin heel bliid mei it sifer.,fifties,female,Frisian,common_voice_fy-NL_21431233.wav
7568,Wy soenen graach oant oaremoarn bliuwe wolle.,not_defined,not_defined,Frisian,common_voice_fy-NL_21427758.wav
7569,It imago fan it learaarskip hinget ek ôf fan it karriêreperspektyf.,fifties,male,Frisian,common_voice_fy-NL_21192513.wav
7570,Is de doar fan de garaazje op slot?,not_defined,not_defined,Frisian,common_voice_fy-NL_20986875.wav
7571,"Dy't it breed hat, lit it breed hingje.",not_defined,not_defined,Frisian,common_voice_fy-NL_21445209.wav
7572,It teäter sil op jûntiid en op sneintemiddei brûkt wurde foar musicals.,fifties,male,Frisian,common_voice_fy-NL_21406995.wav
7573,"Dêr moatst net om laitsje, dat is hiel slim.",not_defined,not_defined,Frisian,common_voice_fy-NL_21469958.wav
7574,Buorlju seagen de flammen yn de loads en warskôgen de eigeners.,fourties,female,Frisian,common_voice_fy-NL_21071581.wav
7575,Lit de lofterhân net witte wat de rjochterhân docht.,not_defined,not_defined,Frisian,common_voice_fy-NL_21441774.wav
7576,Men moat de duvel wol te freon hâlde.,not_defined,not_defined,Frisian,common_voice_fy-NL_21435896.wav
7577,Yn juny brocht de man in frou om it libben mei messtekken.,sixties,female,Frisian,common_voice_fy-NL_21435557.wav
7578,"As it mar even koe, ûntrûn ik har.",not_defined,not_defined,Frisian,common_voice_fy-NL_21441916.wav
7579,Nei de nedige buorrels gienen wy út 'e bar.,not_defined,not_defined,Frisian,common_voice_fy-NL_21431814.wav
7580,Richard moast gewoan sparje foar in nije auto.,not_defined,not_defined,Frisian,common_voice_fy-NL_21419647.wav
7581,"As men allergysk is, is men oergefoelich foar beskate stoffen.",sixties,female,Frisian,common_voice_fy-NL_21438246.wav
7582,Om kertier oer ienen lizze wy op bêd.,thirties,female,Frisian,common_voice_fy-NL_21449307.wav
7583,De resultaten fan it ûndersyk wurde nije wike woansdei iepenbier makke.,fourties,female,Frisian,common_voice_fy-NL_21407107.wav
7584,De plysje sil boetes fange fan minsken dy't fierstente let fan beteljen binne.,fourties,male,Frisian,common_voice_fy-NL_21407798.wav
7585,Troch dy sitte wy yn dit parket.,not_defined,not_defined,Frisian,common_voice_fy-NL_21411886.wav
7586,"Neffens wat mem seit, moat er in goede skriuwer wêze.",sixties,female,Frisian,common_voice_fy-NL_21447965.wav
7587,Dy binne fergees.,twenties,female,Frisian,common_voice_fy-NL_21406414.wav
7588,"Watfoar waar wurdt it hjoed, witte jo dat?",fifties,male,Frisian,common_voice_fy-NL_21192255.wav
7589,Fjirtich jier hat er dûmny west.,sixties,female,Frisian,common_voice_fy-NL_21481732.wav
7590,De holle stie my op ûntploffen en gâns fenige wurden woene my ûntfalle.,not_defined,not_defined,Frisian,common_voice_fy-NL_21406220.wav
7591,"Goejûn, it is trije minuten oer seizen.",thirties,female,Frisian,common_voice_fy-NL_20776871.wav
7592,Better deugd sûnder goud as goud sûnder eare.,thirties,male,Frisian,common_voice_fy-NL_21413954.wav
7593,Troch in grutte kier yn 'e gerdinen seach er de swartfluwielen nachthimel fol stjerren.,fourties,female,Frisian,common_voice_fy-NL_21411774.wav
7594,Hy fytste yn 'e rjochting fan syn hûs mar dêr is er nea oankommen.,not_defined,not_defined,Frisian,common_voice_fy-NL_21340525.wav
7595,De sjuery beleanne har optreden mei in twadde plak.,sixties,female,Frisian,common_voice_fy-NL_21479902.wav
7596,Dêr is gjin spiker tusken te krijen.,not_defined,not_defined,Frisian,common_voice_fy-NL_21427725.wav
7597,Mei dit systeem betellet men foar itjinge dêr't men nei sjocht.,not_defined,not_defined,Frisian,common_voice_fy-NL_20986879.wav
7598,"Troch hoe't se praten, tocht ik dat se troud wienen.",thirties,female,Frisian,common_voice_fy-NL_21407815.wav
7599,Troch syn burd like der folle âlder.,twenties,male,Frisian,common_voice_fy-NL_21426258.wav
7600,De iene is molkkontroleur en de oare is pastoar wurden.,not_defined,not_defined,Frisian,common_voice_fy-NL_21412584.wav
7601,Bist thús bleaun om te learen foar de toets?,not_defined,not_defined,Frisian,common_voice_fy-NL_21419645.wav
7602,Pake hat my min ofte mear ynwijd yn it echte libben.,not_defined,not_defined,Frisian,common_voice_fy-NL_21507883.wav
7603,"Jonges en famkes, wês efkes stil, oars kin ik Willemijn net ferstean.",sixties,female,Frisian,common_voice_fy-NL_21509539.wav
7604,"Spitich dat it sa einigje moat, mar it is net oars.",not_defined,not_defined,Frisian,common_voice_fy-NL_21413112.wav
7605,Sûnder publyk is it neffens my net mooglik om in rekôr te riden.,not_defined,not_defined,Frisian,common_voice_fy-NL_21446506.wav
7606,De gemeente moat mear ynvestearje om de ynwenners oan in baan te helpen.,not_defined,not_defined,Frisian,common_voice_fy-NL_20507004.wav
7607,Foardiel is datsto spultsjes dwaan kinst.,sixties,female,Frisian,common_voice_fy-NL_21435938.wav
7608,Sy is in minske dat neat fan burokrasy witte wol.,not_defined,not_defined,Frisian,common_voice_fy-NL_20895144.wav
7609,Om seis oere waarden wy ophelle foar de jûnsgearkomste.,fifties,female,Frisian,common_voice_fy-NL_21419741.wav
7610,Ik ha no even gjin jild.,not_defined,not_defined,Frisian,common_voice_fy-NL_21428134.wav
7611,It waait dat sân duvels gjin strie hâlde kinne.,not_defined,not_defined,Frisian,common_voice_fy-NL_21446468.wav
7612,Har iene frije middei mei foar neat of nimmen wike.,twenties,female,Frisian,common_voice_fy-NL_21406413.wav
7613,It ûndersyk wurdt dien troch studinten dy't yn 'e einfaze fan 'e stúdzje binne.,not_defined,not_defined,Frisian,common_voice_fy-NL_21406557.wav
7614,Meitsje de letters Courier yn it wurd.,not_defined,not_defined,Frisian,common_voice_fy-NL_20864040.wav
7615,Wat bedoele jo?,not_defined,not_defined,Frisian,common_voice_fy-NL_21406945.wav
7616,Myn dochter giet mei en sjocht har de eagen út.,not_defined,not_defined,Frisian,common_voice_fy-NL_21408336.wav
7617,Hy lei op in keamer apart en hie de dei derfoar syn proteze krigen.,thirties,male,Frisian,common_voice_fy-NL_21414034.wav
7618,Sa geane der wer in pear kertier fan de woansdeitemiddei om.,not_defined,not_defined,Frisian,common_voice_fy-NL_21437618.wav
7619,De gemeente betellet sels it oare part.,not_defined,not_defined,Frisian,common_voice_fy-NL_21413093.wav
7620,De foar moarn oankundige staking giet net troch.,not_defined,not_defined,Frisian,common_voice_fy-NL_21405392.wav
7621,De jonges steane as ien man efter my.,sixties,female,Frisian,common_voice_fy-NL_21407066.wav
7622,Elizabeth klom op ta adjunkt-direkteur fan de stichting.,fifties,male,Frisian,common_voice_fy-NL_21406997.wav
7623,Sûnt trije jier wurket er by de gemeente Amsterdam.,not_defined,not_defined,Frisian,common_voice_fy-NL_21467666.wav
7624,Der wie noch in plakje frij neist in âlde frou mei in felgiel mûtske.,not_defined,not_defined,Frisian,common_voice_fy-NL_21411898.wav
7625,Hja learde har ferlies en fertriet op in oare wize te ferwurkjen.,not_defined,not_defined,Frisian,common_voice_fy-NL_21428154.wav
7626,Der binne saterdei spegelkarpers útset yn it Fryske wetter.,sixties,male,Frisian,common_voice_fy-NL_21411933.wav
7627,Ik ha in hekel oan himmeljen.,sixties,female,Frisian,common_voice_fy-NL_21438132.wav
7628,It skaaltsje fan tige seldsum Ru-keramyk is miljoenen euro's wurdich.,thirties,female,Frisian,common_voice_fy-NL_21426555.wav
7629,Hy hie in diel fan de bút by him.,fourties,female,Frisian,common_voice_fy-NL_21403879.wav
7630,"Ast foarwerpen kwyt bist, dan kinst oant yn 'e jûn terjochte op it polysjeburo.",not_defined,not_defined,Frisian,common_voice_fy-NL_20844536.wav
7631,"Wy hawwe deselde noas, in ôfplatte wipnoas sil ik mar sizze.",not_defined,not_defined,Frisian,common_voice_fy-NL_21419393.wav
7632,Kin ik dêr as frou allinnich hinne of is dat gefaarlik?,thirties,male,Frisian,common_voice_fy-NL_21447153.wav
7633,"Allinnich wa't ûngelok ken, wit gelok te wurdearjen.",fourties,female,Frisian,common_voice_fy-NL_21411776.wav
7634,Douwe wurket yn 'e soarch.,not_defined,not_defined,Frisian,common_voice_fy-NL_20357234.wav
7635,Hy fottelt foar har de hakken út 'e skuon.,not_defined,not_defined,Frisian,common_voice_fy-NL_21411893.wav
7636,Hoe komme jo der no by om sa'n meunstertocht te fytsen?,not_defined,not_defined,Frisian,common_voice_fy-NL_21448037.wav
7637,Kanada driget mei hurde maatregels tsjin de Europeeske fiskers.,not_defined,not_defined,Frisian,common_voice_fy-NL_21422203.wav
7638,Binne jo fan doel om ynkoarten te bouwen of te ferbouwen?,not_defined,not_defined,Frisian,common_voice_fy-NL_21406582.wav
7639,De organisaasje kriget geregeld klachten oer de soarch yn ferpleechhuzen.,not_defined,not_defined,Frisian,common_voice_fy-NL_20895132.wav
7640,Se begûn te fertellen oer har tsjerke en de goede wurken dy't se dienen.,fifties,female,Frisian,common_voice_fy-NL_21431238.wav
7641,Mar hy hat dy brief lêzen.,not_defined,not_defined,Frisian,common_voice_fy-NL_21412180.wav
7642,Aken en Keulen binne net yn ien dei boud.,fourties,female,Frisian,common_voice_fy-NL_21071594.wav
7643,De eksakte datum fan de race wurdt begjin takom jier bekend makke.,not_defined,not_defined,Frisian,common_voice_fy-NL_21428179.wav
7644,Syn wurden binne net syn dieden.,thirties,female,Frisian,common_voice_fy-NL_21413840.wav
7645,Oan see komt in hurde wyn te stean.,not_defined,not_defined,Frisian,common_voice_fy-NL_21469896.wav
7646,"Sa't ik der tsjinoan seach, hearde dat net by ús ôfspraak.",not_defined,not_defined,Frisian,common_voice_fy-NL_21509533.wav
7647,Yn alle earlikheid moatte wy bekenne dat wy machteleas stean.,fifties,female,Frisian,common_voice_fy-NL_21405129.wav
7648,As aktrise meist dingen dwaan dy'tst yn it gewoane libben net dwaan kinst.,fifties,female,Frisian,common_voice_fy-NL_21431282.wav
7649,Ik kin it my net mear yn it sin bringe.,not_defined,not_defined,Frisian,common_voice_fy-NL_21430035.wav
7650,Kinne jo in taksy foar ús belje foar moarntemoarne?,not_defined,not_defined,Frisian,common_voice_fy-NL_20895229.wav
7651,"Hoewol't hja de jongste wie, bestjoerde se it húshâlden mei izeren hân.",not_defined,not_defined,Frisian,common_voice_fy-NL_21476588.wav
7652,Sneon wurdt op it partijkongres de kandidatelist fêststeld.,not_defined,not_defined,Frisian,common_voice_fy-NL_21406560.wav
7653,"Alle minsken gongen werom nei hûs, de iene nei de oare.",not_defined,not_defined,Frisian,common_voice_fy-NL_21406441.wav
7654,Befeiligingsamtners tochten dat se mei in bûsehifker te krijen hienen.,twenties,female,Frisian,common_voice_fy-NL_21443457.wav
7655,"De flaters dy't hja meitsje, binne soms hurde lessen.",not_defined,not_defined,Frisian,common_voice_fy-NL_21437617.wav
7656,Wat stean der hege weagen op de rivier!,not_defined,not_defined,Frisian,common_voice_fy-NL_20895183.wav
7657,Ik soe lige as ik folhold dat ik hielendal net ûngerêst west hie.,fourties,female,Frisian,common_voice_fy-NL_21411775.wav
7658,"Hy koe de bisten ûntwike, mar syn frachtwein kaam yn de berm telâne.",sixties,male,Frisian,common_voice_fy-NL_21463083.wav
7659,Ik soe graach rêchdekking fan jo krije by it ûntwikkeljen fan ús plannen.,sixties,female,Frisian,common_voice_fy-NL_21427967.wav
7660,Fideo efterkant.,not_defined,not_defined,Frisian,common_voice_fy-NL_21411892.wav
7661,"Freedtejûn foar in wike hie ik dat besletten, moandei wie it rûn.",sixties,female,Frisian,common_voice_fy-NL_21466362.wav
7662,Wy hawwe noch noait ien foar in tichte doar stean litten.,fifties,male,Frisian,common_voice_fy-NL_21225624.wav
7663,Myn buorman wie nûmer ien op in ynternasjonaal toernoai.,not_defined,not_defined,Frisian,common_voice_fy-NL_21476685.wav
7664,Der waard moandei mei de hurde wyn folop surft op de Iselmar.,not_defined,not_defined,Frisian,common_voice_fy-NL_21469895.wav
7665,It is in aardich appartemint.,fourties,female,Frisian,common_voice_fy-NL_21071580.wav
7666,Bring my yn it sin om tulpen te keapjen op 'e merk.,not_defined,not_defined,Frisian,common_voice_fy-NL_21405342.wav
7667,Oan alle gekheid komt in ein.,fourties,female,Frisian,common_voice_fy-NL_21411777.wav
7668,Myn faktueren.,not_defined,not_defined,Frisian,common_voice_fy-NL_20800713.wav
7669,Ungerêste bewenners hâlde tiisdeitejûn in protestaksje tsjin de plannen foar proefboarringen nei gas.,not_defined,not_defined,Frisian,common_voice_fy-NL_21469975.wav
7670,De Ingelsen ferdigenen it doel mei man en macht.,not_defined,not_defined,Frisian,common_voice_fy-NL_21427723.wav
7671,"As hja fuort wie, paste ik op it hús en op 'e hûn.",not_defined,not_defined,Frisian,common_voice_fy-NL_21413144.wav
7672,Wy geane der foar dei en dauwe ôf.,not_defined,not_defined,Frisian,common_voice_fy-NL_21429915.wav
7673,"Nei in oantal meagere jierren, ferwachtet de organisaasje dit jier wer folop besikers.",sixties,female,Frisian,common_voice_fy-NL_21509485.wav
7674,"Nei't de boer stoarn wie, waard de pleats ferkocht.",thirties,female,Frisian,common_voice_fy-NL_21406300.wav
7675,Dit wykein komt der dúdlikheid foar de meiwurkers.,sixties,female,Frisian,common_voice_fy-NL_21485558.wav
7676,Om 'e priis hoege jo it net te litten.,not_defined,not_defined,Frisian,common_voice_fy-NL_21412182.wav
7677,Yn in jongereinhús wurde aardich wat aktiviteiten organisearre.,sixties,female,Frisian,common_voice_fy-NL_21466334.wav
7678,Men moat it izer smeie as it hjit is.,not_defined,not_defined,Frisian,common_voice_fy-NL_21467662.wav
7679,De kongressen wurde om it jier holden.,not_defined,not_defined,Frisian,common_voice_fy-NL_20844540.wav
7680,Der binne sneon spegelkarpers útset yn it Fryske wetter.,thirties,female,Frisian,common_voice_fy-NL_21407814.wav
7681,It is heel simpel mar it rint as in trein.,thirties,female,Frisian,common_voice_fy-NL_21406290.wav
7682,It ophelle bedrach sil hielendal brûkt wurde foar it aksjedoel.,not_defined,not_defined,Frisian,common_voice_fy-NL_21436870.wav
7683,Der binne noch wol wat plattelânsgemeentes dêr't je heel skoan teplak kinne.,not_defined,not_defined,Frisian,common_voice_fy-NL_21422163.wav
7684,Hja hawwe hjir fannacht frjemd húsholden.,not_defined,not_defined,Frisian,common_voice_fy-NL_21408301.wav
7685,Foar elke ynsammele krystbeam kriget de skoalle in lytse bydrage.,fifties,female,Frisian,common_voice_fy-NL_21431281.wav
7686,Der wie noch in plakje frij neist in âlde frou mei in felblau mûtske.,not_defined,not_defined,Frisian,common_voice_fy-NL_20864039.wav
7687,Wy binne learaar wurden.,fifties,male,Frisian,common_voice_fy-NL_21401416.wav
7688,Hie der dan net mei dy aardige húshâldster trouwe kind?,twenties,male,Frisian,common_voice_fy-NL_21402915.wav
7689,Ik soe graach in bêd foar twa persoanen wolle en in ledikantsje.,thirties,female,Frisian,common_voice_fy-NL_21407153.wav
7690,Kaarten.,sixties,male,Frisian,common_voice_fy-NL_21413573.wav
7691,Jou in nûmer heger as seis.,fourties,female,Frisian,common_voice_fy-NL_20929352.wav
7692,Bern fan rike boeren moasten klearstoomd wurde foar ûnderwizer of dokter of sa.,not_defined,not_defined,Frisian,common_voice_fy-NL_21446929.wav
7693,Untskoattelje dizze rige.,not_defined,not_defined,Frisian,common_voice_fy-NL_21427761.wav
7694,De hazze rûn fuort by ús hûs en de hûn gie efter him oan.,sixties,female,Frisian,common_voice_fy-NL_21438136.wav
7695,By genôch dielnimmers kinne ek middeisgearkomsten holden wurde.,twenties,female,Frisian,common_voice_fy-NL_21443520.wav
7696,"De gearkomste smiet gjin fjurwurk op, mar duorre wol goed trije oeren.",not_defined,not_defined,Frisian,common_voice_fy-NL_21496628.wav
7697,In giele trein ried it stasjon binnen.,thirties,female,Frisian,common_voice_fy-NL_21407159.wav
7698,Nei in stúdzje oan de keunstakademy hie er it yn Nederlân wol sjoen.,not_defined,not_defined,Frisian,common_voice_fy-NL_20895228.wav
7699,Silsto ek op fakânsje?,sixties,female,Frisian,common_voice_fy-NL_21465699.wav
7700,"Wie it wat, of net?",not_defined,not_defined,Frisian,common_voice_fy-NL_21427760.wav
7701,In pear kear hie er har eagen yn de rêch field.,fourties,female,Frisian,common_voice_fy-NL_21071595.wav
7702,Wy sjogge in taname fan bedriuwsminsken op de kaderdagen dy't wy organisearje.,not_defined,not_defined,Frisian,common_voice_fy-NL_21406671.wav
7703,Hoe moat ik my dat foarstelle?,sixties,female,Frisian,common_voice_fy-NL_21407067.wav
7704,"Dat barde ek, mar freegje net hoe.",twenties,female,Frisian,common_voice_fy-NL_21407695.wav
7705,Doch it ljocht út.,twenties,female,Frisian,common_voice_fy-NL_21431444.wav
7706,Hy wist folle mear fan de godstsjinst as de measten fan ús.,not_defined,not_defined,Frisian,common_voice_fy-NL_21405395.wav
7707,Ik jou de film in acht en in heal!,fourties,female,Frisian,common_voice_fy-NL_20929350.wav
7708,Begjin dizze moanne waard bekend hoe bysûnder as it pears-blauwe skaaltsje eins is.,twenties,male,Frisian,common_voice_fy-NL_21402917.wav
7709,De trije gasten wurken mei oan in boekje dat ôfrûne tongersdei presintearre waard.,sixties,female,Frisian,common_voice_fy-NL_21633840.wav
7710,Moandeitemoarn is in frachtwein fol molke yn 'e sleat rekke.,fourties,female,Frisian,common_voice_fy-NL_20929415.wav
7711,Ik ha hjir natuerlik wol it ien en oar meimakke.,not_defined,not_defined,Frisian,common_voice_fy-NL_21503257.wav
7712,Wa fine jo de bêste?,not_defined,not_defined,Frisian,common_voice_fy-NL_21413119.wav
7713,Jan senior is fan in generaasje dy't op syn tolfde fan skoalle gyng.,fourties,female,Frisian,common_voice_fy-NL_21403935.wav
7714,Syn gesicht stie op ûnwaar.,fifties,male,Frisian,common_voice_fy-NL_21226539.wav
7715,Foar de seefûgels op it eilân wiene de seestjerren in maklike proai.,thirties,male,Frisian,common_voice_fy-NL_21447118.wav
7716,Folje dizze sel omheech yn.,not_defined,not_defined,Frisian,common_voice_fy-NL_21445208.wav
7717,Tanke foar de moaie blommen.,not_defined,not_defined,Frisian,common_voice_fy-NL_21432000.wav
7718,Selektearje op 'e nij.,not_defined,not_defined,Frisian,common_voice_fy-NL_21406674.wav
7719,De byienkomsten binne net bedoeld om mieningsferskillen út te fjochtsjen.,twenties,female,Frisian,common_voice_fy-NL_21407723.wav
7720,Skriuw de folgjende sân rigels.,not_defined,not_defined,Frisian,common_voice_fy-NL_21411884.wav
7721,Op it fel fan 'e hannen binne de earste âlderdomsplakken te sjen.,not_defined,not_defined,Frisian,common_voice_fy-NL_21445182.wav
7722,Der steane hjir twa froulju foar de doar.,sixties,female,Frisian,common_voice_fy-NL_21447944.wav
7723,De plysje koe foarkomme dat it ta in konfrontaasje kaam.,not_defined,not_defined,Frisian,common_voice_fy-NL_21412524.wav
7724,Hy kuiere nei de fiver ta.,fifties,male,Frisian,common_voice_fy-NL_21419692.wav
7725,De ploech slagge der net yn om in punt te pakken.,fifties,male,Frisian,common_voice_fy-NL_21406996.wav
7726,De maresjaussee hat alle mooglike spoaren ûndersocht mar neat fûn.,not_defined,not_defined,Frisian,common_voice_fy-NL_21507800.wav
7727,In rige eilannen yn it suden fan Japan is troffen troch in krêftige ierdskodding.,not_defined,not_defined,Frisian,common_voice_fy-NL_20864033.wav
7728,Yn Drachten hat woansdeitemiddei brân west yn in wenhús oan de Stasjonswei.,sixties,female,Frisian,common_voice_fy-NL_21465488.wav
7729,Guon âlden hawwe moandeitemiddei heel goed holpen mei it fersieren fan de skoalle.,sixties,male,Frisian,common_voice_fy-NL_21413596.wav
7730,"As it jo itselde is, bliuw ik leaver thús.",fourties,female,Frisian,common_voice_fy-NL_21403933.wav
7731,De dei-opliedingen hawwe in mienskiplik basisprogramma.,fifties,male,Frisian,common_voice_fy-NL_21401257.wav
7732,Nei har dea is se de himel yn priizge troch de generaasje nei har.,twenties,male,Frisian,common_voice_fy-NL_21426228.wav
7733,"Simmerdeis wiene der noch wol genôch klanten, mar winterdeis net.",fifties,female,Frisian,common_voice_fy-NL_21413795.wav
7734,Wat moat men as pasjint wannear't de wittenskip gjin oplossing mear foar jin hat?,fifties,male,Frisian,common_voice_fy-NL_21419792.wav
7735,De sneldyk is no sneontenacht ticht troch wurksumheden.,fifties,male,Frisian,common_voice_fy-NL_20788597.wav
7736,De wekker giet alle dagen om seis oere moarns.,thirties,female,Frisian,common_voice_fy-NL_21407051.wav
7737,It is in riedsel wa't dizze leafdesbrief stjoerd hat.,twenties,female,Frisian,common_voice_fy-NL_21443546.wav
7738,Giesto mei te aaisykjen?,thirties,female,Frisian,common_voice_fy-NL_21449438.wav
7739,Tiisdeitejûn sil ik ynsprekke yn in kommisjegearkomste op it âlde riedshûs.,not_defined,not_defined,Frisian,common_voice_fy-NL_21405338.wav
7740,De lju yn myn neiste fermidden hawwe dêr gjin begryp foar.,sixties,female,Frisian,common_voice_fy-NL_21508145.wav
7741,Hja hat yn de fraksje al frij gau it heechste wurd.,sixties,female,Frisian,common_voice_fy-NL_21465718.wav
7742,Hja beslút foarearst alle kontakten mei har buorjonge te ferbrekken.,twenties,female,Frisian,common_voice_fy-NL_21443494.wav
7743,Soks kin fansels allinnich mar ferkeard ôfrinne.,not_defined,not_defined,Frisian,common_voice_fy-NL_21451056.wav
7744,It ûndersyk nei de moard is wer werom by it begjin.,not_defined,not_defined,Frisian,common_voice_fy-NL_21414160.wav
7745,De keamers hawwe ekstra lege dakruten foar gasten yn in rolstoel.,not_defined,not_defined,Frisian,common_voice_fy-NL_21411887.wav
7746,Arjen kin it noch wolris fier bringe.,not_defined,not_defined,Frisian,common_voice_fy-NL_21413135.wav
7747,Wolsto my dûnsjen leare?,thirties,female,Frisian,common_voice_fy-NL_21449437.wav
7748,Wy koene sa lang by him wenje.,twenties,female,Frisian,common_voice_fy-NL_21443495.wav
7749,De winner fan it toernoai wint ûnder oare in auto.,twenties,male,Frisian,common_voice_fy-NL_21426128.wav
7750,De sinne komt op en lit de see skitterje yn it moarnsljocht.,not_defined,not_defined,Frisian,common_voice_fy-NL_20844539.wav
7751,As it in bytsje meisiet dan hiene je letter in eigen skûtsje.,fifties,female,Frisian,common_voice_fy-NL_21406926.wav
7752,Nei de kweekskoalle stie se foar de klasse yn Deinum.,thirties,female,Frisian,common_voice_fy-NL_21407052.wav
7753,De apel falt net fier fan de beam.,not_defined,not_defined,Frisian,common_voice_fy-NL_21427471.wav
7754,Fan no ôf oan wol ik allinnich oer alles beslisse.,thirties,female,Frisian,common_voice_fy-NL_21407812.wav
7755,Dêrfoar moat it nachts wol in pear graden frieze!,thirties,female,Frisian,common_voice_fy-NL_21449481.wav
7756,Meitsje de folgjende kolom sichtber.,sixties,female,Frisian,common_voice_fy-NL_21407032.wav
7757,De protesten fan 'e tsjinstanners wiene ferheftich.,not_defined,not_defined,Frisian,common_voice_fy-NL_21406964.wav
7758,Dy minsken kenne mar ien rjocht: it rjocht fan de sterkste.,not_defined,not_defined,Frisian,common_voice_fy-NL_21407803.wav
7759,De provinsje freget boeren mei mûzeskea om foarearst it lân net om te ploegjen.,not_defined,not_defined,Frisian,common_voice_fy-NL_21407805.wav
7760,"Jo kinne kieze foar in toer fan in oere, mar ek foar in deitoer.",not_defined,not_defined,Frisian,common_voice_fy-NL_21430081.wav
7761,Do meist saterdei net op stap.,not_defined,not_defined,Frisian,common_voice_fy-NL_21429916.wav
7762,Dat haw ik dy genôch sein.,not_defined,not_defined,Frisian,common_voice_fy-NL_21437561.wav
7763,Fryslân leit fierder fuort fan Hollân as Hollân fan Fryslân blykber.,not_defined,not_defined,Frisian,common_voice_fy-NL_21427523.wav
7764,De mearderheid fan de befolking leaut yn elven en oare ûnsichtbere wêzens.,not_defined,not_defined,Frisian,common_voice_fy-NL_21447700.wav
7765,Der hawwe in soad ûngelokken west op krúspunten fan dizze wei.,twenties,male,Frisian,common_voice_fy-NL_21402912.wav
7766,"It is fiif foar tolven, mar noch net te let.",sixties,female,Frisian,common_voice_fy-NL_21407031.wav
7767,Set de wekker op sân oere.,not_defined,not_defined,Frisian,common_voice_fy-NL_21412181.wav
7768,დაბრუნებისთანავე ისევ განაგრძო მუშაობა.,thirties,female,Georgian,common_voice_ka_21455843.wav
7769,ეს გამოსახულებები აღბეჭდილი იყო მოსკოვის დიდი მთავრებისა და მეფეების ბეჭდებზე.,not_defined,not_defined,Georgian,common_voice_ka_21368943.wav
7770,"დღეს ეს გრანდიოზული ნაგებობა არაა შემორჩენილი, მაგრამ იმ ადგილზე კარგად ჩანს ცირკის კონტურები.",thirties,female,Georgian,common_voice_ka_21466653.wav
